,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
0,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019,Walt Disney Studios,"$357,115,007","$356,000,000","April 24, 2019
            (21 markets)",PG-13,3 hr 1 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi","See more details at IMDbPro

"
1,2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019,Walt Disney Studios,"$191,770,759","$260,000,000","July 11, 2019
            (Australia)",PG,1 hr 58 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical","See more details at IMDbPro

"
2,3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Walt Disney Studios,"$130,263,358","$150,000,000","November 20, 2019
            (EMEA, APAC)",PG,1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
3,4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$92,579,212","$160,000,000","June 28, 2019
            (APAC, China)",PG-13,2 hr 9 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
4,5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019,Walt Disney Studios,"$153,433,423","$160,000,000","March 6, 2019
            (APAC, EMEA)",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
5,6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%,2019,"Warner Bros.See full company information

","$96,202,337","$55,000,000","October 2, 2019
            (APAC, LATAM)",R,2 hr 2 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
6,7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019,Walt Disney Studios,"$177,383,864","$275,000,000","December 18, 2019
            (13 markets)",PG-13,2 hr 22 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

"
7,8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,Walt Disney Studios,"$120,908,065","$200,000,000","June 20, 2019
            (24 markets)",G,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
8,9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019,Walt Disney Studios,"$91,500,929","$183,000,000","May 22, 2019
            (EMEA, APAC)",PG,2 hr 8 min,"Adventure
    
        Family
    
        Fantasy
    
        Musical
    
        Romance","See more details at IMDbPro

"
9,10,Jumanji: The Next Level,"$796,575,993","$316,831,246",39.8%,"$479,744,747",60.2%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$59,251,543","$125,000,000","December 4, 2019
            (EMEA, APAC)",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
10,11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%,2019,"Universal PicturesSee full company information

","$60,038,950","$200,000,000","July 1, 2019
            (Portugal)",,2 hr 17 min,"Action
    
        Adventure
    
        Thriller","See more details at IMDbPro

"
11,12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%,2019,"Well Go USA EntertainmentSee full company information

","$1,015,755",,"July 26, 2019
            (China)",,1 hr 50 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Thriller","See more details at IMDbPro

"
12,13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%,2019,"CMC PicturesSee full company information

","$1,685,287",,"January 31, 2019
            (Australia)",,2 hr 5 min,"Action
    
        Sci-Fi","See more details at IMDbPro

"
13,14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,2019,"Universal PicturesSee full company information

","$55,022,245","$129,000,000","January 3, 2019
            (APAC)",PG,1 hr 44 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
14,15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019,Walt Disney Studios,"$36,948,713","$185,000,000","October 16, 2019
            (EMEA, APAC)",PG,1 hr 59 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

"
15,16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,2019,"Warner Bros.See full company information

","$91,062,152","$79,000,000","September 4, 2019
            (APAC)",R,2 hr 49 min,"Drama
    
        Fantasy
    
        Horror","See more details at IMDbPro

"
16,17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019,"CMC PicturesSee full company information

","$876,001",,"September 30, 2019
            (China)",,2 hr 34 min,"Drama
    
        History","See more details at IMDbPro

"
17,18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%,2019,"Warner Bros.See full company information

","$54,365,242","$150,000,000","May 3, 2019
            (Japan)",PG,1 hr 44 min,"Action
    
        Adventure
    
        Comedy
    
        Family
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
18,19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%,2019,"Universal PicturesSee full company information

","$46,652,680","$80,000,000","May 24, 2019
            (EMEA)",PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family","See more details at IMDbPro

"
19,20,The Captain,"$416,953,262","$706,572",0.2%,"$416,246,690",99.8%,2019,"Well Go USA EntertainmentSee full company information

","$324,769",,"September 30, 2019
            (China)",,1 hr 51 min,"Action
    
        Adventure
    
        Drama
    
        Family","See more details at IMDbPro

"
20,21,Alita: Battle Angel,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%,2019,"Twentieth Century FoxSee full company information

","$28,525,613","$170,000,000","February 5, 2019
            (South Korea)",PG-13,2 hr 2 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
21,22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%,2019,"Warner Bros.See full company information

","$47,776,293","$170,000,000","May 29, 2019
            (EMEA, APAC)",PG-13,2 hr 12 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

"
22,23,1917,"$375,321,528","$159,227,644",42.4%,"$216,093,884",57.6%,2019,"Universal PicturesSee full company information

","$576,216","$95,000,000","December 25, 2019
            (Domestic)",R,1 hr 59 min,"Drama
    
        War","See more details at IMDbPro

"
23,24,Once Upon a Time... in Hollywood,"$374,343,626","$142,502,728",38.1%,"$231,840,898",61.9%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$41,082,018","$90,000,000","July 25, 2019
            (Hong Kong)",R,2 hr 41 min,"Comedy
    
        Drama","See more details at IMDbPro

"
24,25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019,"Warner Bros.See full company information

","$53,505,326","$100,000,000","April 3, 2019
            (EMEA, APAC)",PG-13,2 hr 12 min,"Action
    
        Adventure
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
25,26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019,Walt Disney Studios,"$45,990,748","$170,000,000","March 27, 2019
            (EMEA, APAC)",PG,1 hr 52 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

"
26,27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%,2019,"LionsgateSee full company information

","$56,818,067","$75,000,000","May 15, 2019
            (EMEA, APAC)",R,2 hr 10 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

"
27,28,Knives Out,"$309,232,797","$165,363,234",53.5%,"$143,869,563",46.5%,2019,"LionsgateSee full company information

","$26,769,548","$40,000,000","November 21, 2019
            (Russia/CIS)",PG-13,2 hr 10 min,"Comedy
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
28,29,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,2019,"Paramount PicturesSee full company information

","$29,033,832","$185,000,000","October 23, 2019
            (EMEA, APAC)",R,2 hr 8 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
29,30,Parasite,"$257,047,103","$53,369,749",20.8%,"$203,677,354",79.2%,2019,"NeonSee full company information

","$393,216","$11,400,000","May 30, 2019
            (South Korea)",R,2 hr 12 min,"Comedy
    
        Drama
    
        Thriller","See more details at IMDbPro

"
30,31,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%,2019,"Universal PicturesSee full company information

","$71,117,625","$20,000,000","March 20, 2019
            (APAC, EMEA)",R,1 hr 56 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
31,32,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$30,035,838","$110,000,000","June 12, 2019
            (9 markets)",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

"
32,33,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,2019,"Twentieth Century FoxSee full company information

","$32,828,348","$200,000,000","June 5, 2019
            (EMEA, APAC)",PG-13,1 hr 53 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
33,34,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019,"Universal PicturesSee full company information

","$40,328,920","$20,000,000","January 16, 2019
            (APAC, EMEA)",PG-13,2 hr 9 min,"Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
34,35,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$110,375",,"August 1, 2019
            (APAC, China)",PG-13,1 hr 58 min,"Action
    
        Drama
    
        Family","See more details at IMDbPro

"
35,36,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019,"Warner Bros.See full company information

","$20,269,723","$30,000,000","June 23, 2019
            (Vietnam)",R,1 hr 46 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
36,37,Better Days,"$225,545,362","$1,921,657",0.9%,"$223,623,705",99.1%,2019,"Well Go USA EntertainmentSee full company information

","$989,536",,"June 27, 2019
            (APAC)",,2 hr 15 min,"Crime
    
        Drama
    
        Family
    
        Romance","See more details at IMDbPro

"
37,38,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019,"Twentieth Century FoxSee full company information

","$31,474,958","$97,600,000","November 13, 2019
            (APAC, EMEA)",PG-13,2 hr 32 min,"Action
    
        Biography
    
        Drama
    
        Sport","See more details at IMDbPro

"
38,39,Little Women,"$209,101,214","$108,101,214",51.7%,"$101,000,000",48.3%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$16,755,310","$40,000,000","December 25, 2019
            (Domestic, LATAM)",PG,2 hr 15 min,"Drama
    
        Romance","See more details at IMDbPro

"
39,40,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%,2019,"United Artists ReleasingSee full company information

","$30,300,007","$24,000,000","October 11, 2019
            (Domestic, EMEA)",PG,1 hr 26 min,"Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Horror","See more details at IMDbPro

"
40,41,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%,2019,"Paramount PicturesSee full company information

","$25,725,722","$40,000,000","May 24, 2019
            (United Kingdom)",R,2 hr 1 min,"Biography
    
        Drama
    
        Music
    
        Musical","See more details at IMDbPro

"
41,42,Weathering with You,"$193,158,117","$7,798,743",4%,"$185,359,374",96%,2019,"GKIDSSee full company information

","$1,808,533",,"July 19, 2019
            (Japan)",PG-13,1 hr 52 min,"Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
42,43,Downton Abbey,"$192,949,437","$96,854,135",50.2%,"$96,095,302",49.8%,2019,"Focus FeaturesSee full company information

","$31,033,665","$13,000,000","September 12, 2019
            (APAC, EMEA)",PG,2 hr 2 min,"Drama
    
        Romance","See more details at IMDbPro

"
43,44,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,2019,"Warner Bros.See full company information

","$34,115,335","$99,000,000","February 6, 2019
            (APAC, EMEA)",PG,1 hr 47 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
44,45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019,"CMC PicturesSee full company information

","$244,795",,"July 5, 2019
            (China)",,1 hr 39 min,Action,"See more details at IMDbPro

"
45,46,Abominable,"$181,714,959","$60,716,390",33.4%,"$120,998,569",66.6%,2019,"Universal PicturesSee full company information

","$20,612,100","$75,000,000","September 19, 2019
            (LATAM, APAC)",PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
46,47,Ip Man 4: The Finale,"$175,695,381","$3,956,031",2.3%,"$171,739,350",97.7%,2019,"Well Go USA EntertainmentSee full company information

","$737,718",,"November 29, 2019
            (Germany)",,1 hr 47 min,"Action
    
        Biography
    
        Drama
    
        History","See more details at IMDbPro

"
47,48,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019,"Paramount PicturesSee full company information

","$20,552,372","$138,000,000","October 2, 2019
            (EMEA)",PG-13,1 hr 57 min,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
48,49,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019,"Twentieth Century FoxSee full company information

","$13,354,798","$100,000,000","November 29, 2019
            (Germany)",PG,1 hr 42 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi","See more details at IMDbPro

"
49,50,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,2019,"STX EntertainmentSee full company information

","$33,181,361","$20,000,000","September 12, 2019
            (APAC, EMEA)",R,1 hr 50 min,"Comedy
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
