,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
392,393,Great Performances at the Met: Nico Muhly: Marnie,"$865,551","$849,710",98.2%,"$15,841",1.8%,2018,"Fathom EventsSee full company information

","$639,253","November 10, 2018
            (Domestic)",,2 hr 30 min,Musical,"See more details at IMDbPro

",
393,394,Lizzie,"$844,786","$642,157",76%,"$202,629",24%,2018,"Roadside AttractionsSee full company information

","$47,580","September 14, 2018
            (Domestic)",R,1 hr 45 min,"Biography
    
        Crime
    
        Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
394,395,BANDSTAND: The Broadway Musical on Screen,"$839,554","$839,554",100%,-,-,2018,"Fathom EventsSee full company information

",,"June 25, 2018
            (Domestic)",,2 hr 10 min,Musical,"See more details at IMDbPro

",
395,396,The Heiresses,"$811,196","$78,473",9.7%,"$732,723",90.3%,2018,"Distrib FilmsSee full company information

","$11,304","April 5, 2018
            (Paraguay)",,1 hr 38 min,Drama,"See more details at IMDbPro

",
396,397,Mrs. Hyde,"$778,142","$18,627",2.4%,"$759,515",97.6%,2018,Cartilage Films,"$5,943","March 28, 2018
            (France)",,1 hr 35 min,"Comedy
    
        Drama
    
        Sci-Fi","See more details at IMDbPro

",
397,398,The Invisibles,"$764,250","$407,373",53.3%,"$356,877",46.7%,2018,"Greenwich EntertainmentSee full company information

","$27,164","January 25, 2018
            (Italy)",,1 hr 50 min,"Biography
    
        Drama
    
        History
    
        War","See more details at IMDbPro

",
398,399,Pick of the Litter,"$763,688","$578,717",75.8%,"$184,971",24.2%,2018,"IFC FilmsSee full company information

","$16,519","August 31, 2018
            (Domestic)",,1 hr 20 min,Documentary,"See more details at IMDbPro

",
399,400,Museo,"$759,626","$148,505",19.5%,"$611,121",80.5%,2018,"Vitagraph FilmsSee full company information

","$16,554","September 14, 2018
            (Domestic)",,2 hr 8 min,"Crime
    
        Drama","See more details at IMDbPro

",
400,401,Boundaries,"$755,977","$703,438",93.1%,"$52,539",6.9%,2018,"Sony Pictures ClassicsSee full company information

","$29,552","June 22, 2018
            (Domestic)",R,1 hr 44 min,"Comedy
    
        Drama","See more details at IMDbPro

",
401,402,Ramen Shop,"$735,008","$88,455",12%,"$646,553",88%,2018,"Strand ReleasingSee full company information

","$5,303","June 14, 2018
            (Czech Republic)",,1 hr 29 min,Drama,"See more details at IMDbPro

",
402,403,The Polar Express 2018 Re-release,"$731,018","$731,018",100%,-,-,2018,"Warner Bros.See full company information

","$23,323,463","November 10, 2004
            (Domestic)",,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

","$165,000,000"
403,404,Slaughterhouse Rulez,"$730,762","$4,665",0.6%,"$726,097",99.4%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$2,145","October 31, 2018
            (United Kingdom)",R,1 hr 44 min,"Action
    
        Comedy
    
        Fantasy
    
        Horror
    
        Thriller","See more details at IMDbPro

",
404,405,Liz and the Blue Bird,"$726,454","$63,204",8.7%,"$663,250",91.3%,2018,"Eleven ArtsSee full company information

",,"April 21, 2018
            (Japan)",,1 hr 30 min,"Animation
    
        Drama
    
        Fantasy
    
        Music","See more details at IMDbPro

",
405,406,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875","$707,875",100%,-,-,2018,"Fathom EventsSee full company information

","$707,875","September 15, 2018
            (Domestic)",,,"Documentary
    
        Sport","See more details at IMDbPro

",
406,407,Itzhak,"$704,968","$607,290",86.1%,"$97,678",13.9%,2018,"Greenwich EntertainmentSee full company information

","$14,350","March 9, 2018
            (Domestic)",,1 hr 22 min,Documentary,"See more details at IMDbPro

",
407,408,Blaze,"$704,955","$704,955",100%,-,-,2018,"IFC FilmsSee full company information

","$44,050","August 17, 2018
            (Domestic)",R,2 hr 9 min,"Biography
    
        Drama
    
        Music","See more details at IMDbPro

",
408,410,In the Aisles,"$694,586","$28,394",4.1%,"$666,192",95.9%,2018,"Music Box FilmsSee full company information

",$922,"May 24, 2018
            (Germany)",,2 hr 5 min,Drama,"See more details at IMDbPro

",
409,411,The Trump Prophecy,"$671,198","$671,198",100%,-,-,2018,"Fathom EventsSee full company information

",,"October 2, 2018
            (Domestic)",,2 hr,Drama,"See more details at IMDbPro

",
410,412,Anna and the Apocalypse,"$670,430","$545,597",81.4%,"$124,833",18.6%,2018,"Orion PicturesSee full company information

","$52,588","November 30, 2018
            (Domestic, EMEA)",R,1 hr 33 min,"Comedy
    
        Horror
    
        Musical","See more details at IMDbPro

",
411,413,Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982","$658,982",100%,-,-,2018,"Fathom EventsSee full company information

","$357,322","September 15, 2018
            (Domestic)",,1 hr 12 min,"Action
    
        Animation
    
        Sci-Fi","See more details at IMDbPro

",
412,414,Ponyo 2018 Re-release,"$653,072","$653,072",100%,-,-,2018,Walt Disney Studios,"$3,585,852","July 19, 2008
            (Japan)",,1 hr 41 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

",
413,415,Batti Gul Meter Chalu,"$635,869","$249,539",39.2%,"$386,330",60.8%,2018,"Eros InternationalSee full company information

","$153,847","September 20, 2018
            (EMEA, APAC)",,2 hr 41 min,Drama,"See more details at IMDbPro

",
414,416,"Love, Gilda","$626,318","$626,318",100%,-,-,2018,"Magnolia PicturesSee full company information

","$189,639","September 21, 2018
            (Domestic)",,1 hr 28 min,Documentary,"See more details at IMDbPro

",
415,417,The Sound of Music 2018 Re-release,"$624,392","$616,171",98.7%,"$8,221",1.3%,2018,"Twentieth Century FoxSee full company information

",,"March 2, 1965
            (Domestic)",,2 hr 52 min,"Biography
    
        Drama
    
        Family
    
        Musical
    
        Romance","See more details at IMDbPro

","$8,200,000"
416,418,Die Hard 30th Anniversary Release,"$620,525","$510,241",82.2%,"$110,284",17.8%,2018,"Twentieth Century FoxSee full company information

","$601,851","July 15, 1988
            (Domestic)",,2 hr 12 min,"Action
    
        Thriller","See more details at IMDbPro

","$28,000,000"
417,419,The Transformers,"$619,597","$619,597",100%,-,-,2018,"Fathom EventsSee full company information

",,"September 27, 2018
            (Domestic)",,30 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Sci-Fi","See more details at IMDbPro

",
418,420,The Reports on Sarah and Saleem,"$607,206","$117,479",19.3%,"$489,727",80.7%,2018,"Dada FilmsSee full company information

","$10,102","September 6, 2018
            (Netherlands)",,2 hr 7 min,"Crime
    
        Drama
    
        Mystery
    
        Romance
    
        War","See more details at IMDbPro

",
419,422,"DCI 2019: Big, Loud & Live 16","$603,320","$603,320",100%,-,-,2018,"Fathom EventsSee full company information

",,"August 9, 2018
            (Domestic)",,5 hr 25 min,Documentary,"See more details at IMDbPro

",
420,423,The Grateful Dead Meet-Up 2018,"$600,554","$600,554",100%,-,-,2018,"Fathom EventsSee full company information

",,"April 4, 2018
            (Domestic)",,3 hr,"Documentary
    
        Music","See more details at IMDbPro

",
421,424,Oh Lucy!,"$600,145","$375,391",62.6%,"$224,754",37.4%,2018,"Film MovementSee full company information

","$14,569","January 31, 2018
            (France)",,1 hr 35 min,"Comedy
    
        Drama","See more details at IMDbPro

",
422,425,The Big Lebowski 2018 Re-release,"$592,832","$582,585",98.3%,"$10,247",1.7%,2018,"Gramercy Pictures (I)See full company information

","$5,533,844","March 6, 1998
            (Domestic)",R,1 hr 57 min,"Comedy
    
        Crime
    
        Sport","See more details at IMDbPro

",
423,426,Bilal: A New Breed of Hero 2018 Re-release,"$576,805","$490,973",85.1%,"$85,832",14.9%,2018,"Gulf FilmSee full company information

",,"May 26, 2016
            (Turkey)",PG-13,1 hr 45 min,"Action
    
        Adventure
    
        Animation","See more details at IMDbPro

",
424,427,The Cat Returns 2018 Re-release,"$563,718","$563,718",100%,-,-,2018,,,"July 20, 2002
            (Japan)",G,1 hr 15 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
425,428,Beetlejuice 2018 Re-release,"$562,613","$512,947",91.2%,"$49,666",8.8%,2018,"Warner Bros.See full company information

","$8,030,897","March 30, 1988
            (Domestic)",PG,1 hr 32 min,"Comedy
    
        Fantasy","See more details at IMDbPro

",
426,429,Kusama: Infinity,"$558,052","$360,931",64.7%,"$197,121",35.3%,2018,"Magnolia PicturesSee full company information

","$30,998","September 7, 2018
            (Domestic)",,1 hr 16 min,Documentary,"See more details at IMDbPro

",
427,430,Castle in the Sky 2018 Re-release,"$557,541","$523,664",93.9%,"$33,877",6.1%,2018,,,"January 15, 2003
            (France)",,2 hr 5 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
428,431,Rojo,"$557,092","$94,757",17%,"$462,335",83%,2018,"Distrib FilmsSee full company information

","$12,479","October 25, 2018
            (Argentina)",,1 hr 49 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
429,432,Dhadak,"$549,628",-,-,"$549,628",100%,2018,,,"July 19, 2018
            (Australia)",,2 hr 18 min,"Drama
    
        Romance","See more details at IMDbPro

",
430,433,My Generation,"$546,183",-,-,"$546,183",100%,2018,,,"March 16, 2018
            (United Kingdom)",,1 hr 25 min,"Documentary
    
        History","See more details at IMDbPro

",
431,434,He's Out There,"$544,674",-,-,"$544,674",100%,2018,"Vertical EntertainmentSee full company information

",,"August 31, 2018
            (Turkey)",R,1 hr 29 min,"Horror
    
        Thriller","See more details at IMDbPro

",
432,436,Karwaan,"$536,525","$182,009",33.9%,"$354,516",66.1%,2018,PackYourBag Films,"$98,460","August 2, 2018
            (APAC, EMEA)",,1 hr 54 min,"Comedy
    
        Drama","See more details at IMDbPro

",
433,437,What They Had,"$533,579","$260,136",48.8%,"$273,443",51.2%,2018,"Bleecker Street MediaSee full company information

","$17,683","October 19, 2018
            (Domestic)",R,1 hr 41 min,Drama,"See more details at IMDbPro

",
434,438,Grave of the Fireflies,"$516,962","$516,962",100%,-,-,2018,"Fathom EventsSee full company information

","$158,101","August 12, 2018
            (Domestic)",,1 hr 29 min,"Animation
    
        Drama
    
        War","See more details at IMDbPro

",
435,439,The Sandlot 2018 Re-release,"$516,130","$516,130",100%,-,-,2018,"Twentieth Century FoxSee full company information

","$4,918,712","April 9, 1993
            (Domestic)",PG,1 hr 41 min,"Comedy
    
        Drama
    
        Family
    
        Sport","See more details at IMDbPro

",
436,440,Bullitt 2018 Re-release,"$511,350","$511,350",100%,-,-,2018,"Warner Bros.See full company information

",,"October 17, 1968
            (Domestic)",M/PG,1 hr 54 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

",
437,441,Monsters and Men,"$510,967","$500,101",97.9%,"$10,866",2.1%,2018,"NeonSee full company information

","$118,697","September 28, 2018
            (Domestic)",R,1 hr 36 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
438,442,Have a Nice Day,"$504,003","$79,393",15.8%,"$424,610",84.2%,2018,"Strand ReleasingSee full company information

","$10,463","January 12, 2018
            (China)",,1 hr 17 min,"Animation
    
        Comedy
    
        Crime
    
        Drama","See more details at IMDbPro

",
439,443,London Fields,"$487,420","$252,676",51.8%,"$234,744",48.2%,2018,"GVN ReleasingSee full company information

","$168,575","September 20, 2018
            (EMEA, APAC)",R,1 hr 58 min,"Crime
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
440,444,Matangi/Maya/M.I.A,"$469,489","$230,808",49.2%,"$238,681",50.8%,2018,"AbramoramaSee full company information

","$43,573","September 21, 2018
            (United Kingdom)",,1 hr 36 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

",
441,445,Time Freak,"$467,693","$10,003",2.1%,"$457,690",97.9%,2018,Grindstone Entertainment,,"November 9, 2018
            (Domestic)",PG-13,1 hr 44 min,"Comedy
    
        Drama
    
        Romance
    
        Sci-Fi","See more details at IMDbPro

",
442,446,Puffs: Filmed Live Off Broadway,"$464,483","$464,483",100%,-,-,2018,"Fathom EventsSee full company information

","$232,863","May 9, 2018
            (Domestic)",,1 hr 58 min,"Adventure
    
        Comedy","See more details at IMDbPro

",
443,447,MFKZ,"$461,724","$229,423",49.7%,"$232,301",50.3%,2018,"GKIDSSee full company information

","$6,094","May 23, 2018
            (France)",R,1 hr 34 min,"Action
    
        Animation
    
        Comedy
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
444,448,Scotty and the Secret History of Hollywood,"$461,689","$461,689",100%,-,-,2018,"Greenwich EntertainmentSee full company information

","$28,144","July 27, 2018
            (Domestic)",,1 hr 38 min,"Biography
    
        Documentary","See more details at IMDbPro

",
445,449,South Pacific 2018 Re-release,"$458,000","$458,000",100%,-,-,2018,"Twentieth Century FoxSee full company information

",,"March 19, 1958
            (Domestic)",,2 hr 37 min,"Musical
    
        Romance
    
        War","See more details at IMDbPro

","$6,000,000"
446,450,The Gospel According to André,"$454,550","$400,713",88.2%,"$53,837",11.8%,2018,"Magnolia PicturesSee full company information

","$47,802","May 25, 2018
            (Domestic)",PG-13,1 hr 33 min,Documentary,"See more details at IMDbPro

",
447,451,Leaning Into The Wind,"$452,372","$400,530",88.5%,"$51,842",11.5%,2018,"Magnolia PicturesSee full company information

","$24,840","March 9, 2018
            (Domestic)",PG,1 hr 37 min,Documentary,"See more details at IMDbPro

",
448,452,Porco Rosso 2018 Re-release,"$443,059","$443,059",100%,-,-,2018,,,"March 7, 2008
            (Finland)",PG,1 hr 34 min,"Adventure
    
        Animation
    
        Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
449,453,Elf 2018 Re-release,"$442,073","$442,073",100%,-,-,2018,"New Line CinemaSee full company information

","$32,100,000","November 7, 2003
            (Domestic)",PG,1 hr 37 min,"Comedy
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

","$33,000,000"
450,454,We the Animals,"$434,743","$400,961",92.2%,"$33,782",7.8%,2018,"The OrchardSee full company information

","$63,357","August 17, 2018
            (Domestic)",R,1 hr 34 min,Drama,"See more details at IMDbPro

",
451,455,DCI 2018 Tour Premeire,"$434,008","$434,008",100%,-,-,2018,"Fathom EventsSee full company information

",,"June 21, 2018
            (Domestic)",,,Documentary,"See more details at IMDbPro

",
452,456,The Sower,"$433,112","$36,233",8.4%,"$396,879",91.6%,2018,"Film MovementSee full company information

","$4,128","March 15, 2018
            (Greece)",,1 hr 38 min,"Drama
    
        Romance","See more details at IMDbPro

",
453,457,Andy Irons: Kissed by God,"$430,393","$285,933",66.4%,"$144,460",33.6%,2018,"Fathom EventsSee full company information

",,"May 25, 2018
            (Domestic)",,1 hr 40 min,Documentary,"See more details at IMDbPro

",
454,458,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,"$422,760","$413,039",97.7%,"$9,721",2.3%,2018,"Fathom EventsSee full company information

",,"November 13, 2018
            (Domestic)",,1 hr 45 min,"Fantasy
    
        Sport","See more details at IMDbPro

",
455,459,Frankenstein 2018 Re-release,"$417,783","$417,783",100%,-,-,2018,,,"March 31, 2011
            (New Zealand)",,2 hr 10 min,"Drama
    
        Sci-Fi","See more details at IMDbPro

",
456,460,Happy Phirr Bhag Jayegi,"$417,669","$103,385",24.8%,"$314,284",75.2%,2018,"Eros InternationalSee full company information

","$72,376","August 23, 2018
            (EMEA, APAC)",,2 hr 16 min,Comedy,"See more details at IMDbPro

",
457,461,Status Update,"$416,178","$4,764",1.1%,"$411,414",98.9%,2018,"Vertical EntertainmentSee full company information

","$2,205","February 9, 2018
            (United Kingdom)",PG-13,1 hr 46 min,"Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
458,462,Vertigo 2018 Re-release,"$408,560","$394,212",96.5%,"$14,348",3.5%,2018,"Paramount PicturesSee full company information

",,"May 9, 1958
            (Domestic)",PG,2 hr 8 min,"Mystery
    
        Romance
    
        Thriller","See more details at IMDbPro

",
459,463,Please Stand By,"$406,732","$9,868",2.4%,"$396,864",97.6%,2018,"Magnolia PicturesSee full company information

","$4,090","January 26, 2018
            (Domestic)",PG-13,1 hr 33 min,"Comedy
    
        Drama","See more details at IMDbPro

",
460,464,The Philadelphia Story 2018 Re-release,"$404,524","$404,524",100%,-,-,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

",,"December 1, 1940
            (Domestic)",,1 hr 52 min,"Comedy
    
        Romance","See more details at IMDbPro

",
461,465,The Oath,"$401,463","$401,463",100%,-,-,2018,"Roadside AttractionsSee full company information

","$29,077","October 12, 2018
            (Domestic)",R,1 hr 33 min,"Comedy
    
        Thriller","See more details at IMDbPro

",
462,466,West Side Story 2018 Re-release,"$398,670","$398,670",100%,-,-,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

",,"October 18, 1961
            (Domestic)",,2 hr 33 min,"Crime
    
        Drama
    
        Musical
    
        Romance","See more details at IMDbPro

","$6,000,000"
463,467,Space Mutiny,"$397,887","$397,887",100%,-,-,2018,"Fathom EventsSee full company information

",,"June 14, 2018
            (Domestic)",,1 hr 31 min,"Action
    
        Adventure
    
        Romance
    
        Sci-Fi","See more details at IMDbPro

",
464,468,Krull 2018 Re-release,"$397,157","$397,157",100%,-,-,2018,"Columbia PicturesSee full company information

","$5,469,415","July 29, 1983
            (Domestic)",,1 hr 56 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
465,469,The Escape,"$390,881","$14,018",3.6%,"$376,863",96.4%,2018,"IFC FilmsSee full company information

",,"April 25, 2018
            (France)",,1 hr 41 min,Drama,"See more details at IMDbPro

",
466,470,"Westwood: Punk, Icon, Activist","$386,856","$58,979",15.2%,"$327,877",84.8%,2018,"Greenwich EntertainmentSee full company information

","$4,450","March 23, 2018
            (United Kingdom)",,1 hr 23 min,Documentary,"See more details at IMDbPro

",
467,471,How to Talk to Girls at Parties,"$385,733","$84,809",22%,"$300,924",78%,2018,"A24See full company information

","$12,674","May 10, 2018
            (Hungary)",R,1 hr 42 min,"Comedy
    
        Music
    
        Romance
    
        Sci-Fi","See more details at IMDbPro

",
468,472,Flower,"$380,553","$328,188",86.2%,"$52,365",13.8%,2018,"The OrchardSee full company information

","$48,919","March 16, 2018
            (Domestic)",R,1 hr 30 min,"Comedy
    
        Drama","See more details at IMDbPro

",
469,473,Jane and Emma,"$380,030","$380,030",100%,-,-,2018,"Excel EntertainmentSee full company information

","$84,512","October 12, 2018
            (Domestic)",PG,1 hr 30 min,Drama,"See more details at IMDbPro

",
470,474,Daughter of Mine,"$379,010","$10,628",2.8%,"$368,382",97.2%,2018,"Strand ReleasingSee full company information

","$5,447","February 22, 2018
            (Italy)",,1 hr 37 min,Drama,"See more details at IMDbPro

",
471,475,Attack on Titan: Smoke Signal,"$377,334","$377,334",100%,-,-,2018,"FUNimation EntertainmentSee full company information

",,"July 10, 2018
            (Domestic)",,24 min,"Action
    
        Adventure
    
        Animation
    
        Drama
    
        Fantasy
    
        Horror","See more details at IMDbPro

",
472,476,Jurassic Park 2018 Re-release,"$374,238","$374,238",100%,-,-,2018,"Universal PicturesSee full company information

","$47,026,828","June 11, 1993
            (Domestic)",PG-13,2 hr 7 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$63,000,000"
473,477,Pom Poko 2018 Re-release,"$372,405","$372,405",100%,-,-,2018,,,"January 18, 2006
            (France)",PG,1 hr 59 min,"Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

",
474,478,"Ruben Brandt, Collector 2018 Re-release","$369,809","$117,963",31.9%,"$251,846",68.1%,2018,,,"November 8, 2018
            (Hungary)",R,1 hr 36 min,"Action
    
        Animation
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
475,479,The Wizard of Oz 2018 Re-release,"$351,839","$351,839",100%,-,-,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

",,"August 25, 1939
            (Domestic)",PG,1 hr 42 min,"Adventure
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

","$2,777,000"
476,480,Bel Canto,"$350,264","$125,569",35.8%,"$224,695",64.2%,2018,"Screen Media FilmsSee full company information

","$12,421","September 13, 2018
            (Russia/CIS)",,1 hr 40 min,"Drama
    
        Music
    
        Romance
    
        Thriller","See more details at IMDbPro

",
477,481,Suicide the Ripple Effect,"$347,468","$347,468",100%,-,-,2018,"GathrFilmsSee full company information

","$2,600","February 23, 2018
            (Domestic)",,1 hr 33 min,Documentary,"See more details at IMDbPro

",
478,482,Bolshoi Ballet: Swan Lake,"$342,391","$88,905",26%,"$253,486",74%,2018,"Fathom EventsSee full company information

",,"July 23, 2018
            (Domestic)",,2 hr 40 min,,"See more details at IMDbPro

",
479,483,Nureyev: Lifting the Curtain,"$342,255","$165,203",48.3%,"$177,052",51.7%,2018,CineLife Entertainment,"$6,362","September 21, 2018
            (United Kingdom)",,1 hr 49 min,Documentary,"See more details at IMDbPro

",
480,484,Knife + Heart,"$341,847","$32,516",9.5%,"$309,331",90.5%,2018,"Altered InnocenceSee full company information

","$4,728","June 27, 2018
            (France)",,1 hr 42 min,"Drama
    
        Horror
    
        Mystery
    
        Romance
    
        Thriller","See more details at IMDbPro

",
481,485,Silencio,"$338,596","$158,723",46.9%,"$179,873",53.1%,2018,"Tulip PicturesSee full company information

","$90,480","October 26, 2018
            (Domestic)",R,1 hr 38 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
482,487,Russ Taff: I Still Believe,"$334,983","$334,983",100%,-,-,2018,"Fathom EventsSee full company information

",,"October 30, 2018
            (Domestic)",,1 hr 44 min,Documentary,"See more details at IMDbPro

",
483,488,Shine,"$333,388","$333,388",100%,-,-,2018,"GVN ReleasingSee full company information

","$205,842","October 5, 2018
            (Domestic)",R,1 hr 35 min,"Drama
    
        Music","See more details at IMDbPro

",
484,489,The Opera House,"$325,235","$320,079",98.4%,"$5,156",1.6%,2018,"Fathom EventsSee full company information

","$191,466","January 13, 2018
            (Domestic)",,1 hr 51 min,Documentary,"See more details at IMDbPro

",
485,490,Teefa In Trouble,"$324,633",-,-,"$324,633",100%,2018,"Yash Raj FilmsSee full company information

",,"July 19, 2018
            (EMEA, APAC)",,2 hr 35 min,"Action
    
        Comedy
    
        Crime
    
        Romance","See more details at IMDbPro

",
486,491,The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928","$323,928",100%,-,-,2018,"Fathom EventsSee full company information

","$323,928","December 23, 2018
            (Domestic)",,2 hr 20 min,,"See more details at IMDbPro

",
487,492,The Cured,"$323,776","$26,630",8.2%,"$297,146",91.8%,2018,"IFC FilmsSee full company information

","$4,875","February 23, 2018
            (Domestic)",R,1 hr 35 min,"Drama
    
        Horror
    
        Sci-Fi","See more details at IMDbPro

",
488,493,Damsel,"$323,235","$305,136",94.4%,"$18,099",5.6%,2018,"Magnolia PicturesSee full company information

","$20,291","June 22, 2018
            (Domestic)",R,1 hr 53 min,"Comedy
    
        Drama
    
        Western","See more details at IMDbPro

",
489,494,Sauvage / Wild,"$317,536","$61,604",19.4%,"$255,932",80.6%,2018,"Strand ReleasingSee full company information

","$7,440","August 29, 2018
            (France)",,1 hr 39 min,Drama,"See more details at IMDbPro

",
490,495,The Riot and the Dance,"$316,103","$316,103",100%,-,-,2018,"Fathom EventsSee full company information

",,"March 19, 2018
            (Domestic)",,1 hr 23 min,,"See more details at IMDbPro

",
491,496,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088","$313,088",100%,-,-,2018,"Fathom EventsSee full company information

","$256,025","January 21, 2018
            (Domestic)",,2 hr 30 min,,"See more details at IMDbPro

",
492,497,MET Opera: Magic Flute,"$307,686","$307,686",100%,-,-,2018,"Fathom EventsSee full company information

","$307,686","December 1, 2018
            (Domestic)",,,,"See more details at IMDbPro

",
493,498,The Mercy 2018 Re-release,"$306,205","$29,538",9.6%,"$276,667",90.4%,2018,,,"February 9, 2018
            (United Kingdom)",,1 hr 52 min,"Adventure
    
        Biography
    
        Drama
    
        Mystery","See more details at IMDbPro

",
494,499,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482","$304,482",100%,-,-,2018,"Fathom EventsSee full company information

","$304,482","December 1, 2018
            (Domestic)",,,Sport,"See more details at IMDbPro

",
495,500,The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681","$302,681",100%,-,-,2018,"Fathom EventsSee full company information

","$244,588","April 8, 2018
            (Domestic)",,2 hr 20 min,,"See more details at IMDbPro

",
496,501,Sunset Blvd. 2018 Re-release,"$299,645","$299,645",100%,-,-,2018,"Paramount PicturesSee full company information

",,"August 4, 1950
            (Domestic)",,1 hr 50 min,"Drama
    
        Film-Noir","See more details at IMDbPro

",
497,502,Okko's Inn,"$293,385","$134,787",45.9%,"$158,598",54.1%,2018,"GKIDSSee full company information

",$763,"September 12, 2018
            (France)",PG,1 hr 34 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

",
498,503,More Than Funny,"$290,498","$290,498",100%,-,-,2018,"Fathom EventsSee full company information

",,"October 18, 2018
            (Domestic)",,1 hr 54 min,Comedy,"See more details at IMDbPro

",
499,504,Best F(r)iends: Volume 1,"$290,064","$252,410",87%,"$37,654",13%,2018,"Fathom EventsSee full company information

","$131,671","March 30, 2018
            (Domestic)",R,1 hr 48 min,"Comedy
    
        Drama
    
        Thriller","See more details at IMDbPro

",
500,505,The Silence of Others,"$289,455","$67,986",23.5%,"$221,469",76.5%,2018,"Argot PicturesSee full company information

","$7,868","November 16, 2018
            (Spain)",,1 hr 36 min,Documentary,"See more details at IMDbPro

",
501,506,Generation Wealth,"$287,709","$237,709",82.6%,"$50,000",17.4%,2018,"Magnolia PicturesSee full company information

","$35,834","July 20, 2018
            (Domestic, EMEA)",R,1 hr 45 min,Documentary,"See more details at IMDbPro

",
502,507,Skate Kitchen,"$287,307","$236,799",82.4%,"$50,508",17.6%,2018,"Magnolia PicturesSee full company information

","$18,065","August 10, 2018
            (Domestic)",R,1 hr 46 min,Drama,"See more details at IMDbPro

",
503,508,But Deliver Us from Evil,"$285,169","$285,169",100%,-,-,2018,"Indican PicturesSee full company information

","$99,541","February 9, 2018
            (Domestic)",,1 hr 49 min,"Horror
    
        Thriller","See more details at IMDbPro

",
504,509,Disney's Newsies: The Broadway Musical! 2018 Re-release,"$282,429","$282,429",100%,-,-,2018,"Fathom EventsSee full company information

","$1,333,538","February 18, 2017
            (Domestic)",PG,2 hr 29 min,Musical,"See more details at IMDbPro

",
505,510,Namaste England,"$279,934","$104,156",37.2%,"$175,778",62.8%,2018,"Eros InternationalSee full company information

","$67,612","October 18, 2018
            (APAC, EMEA)",,2 hr 21 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
506,511,Wonders of the Sea,"$279,415","$100,780",36.1%,"$178,635",63.9%,2018,"Fathom EventsSee full company information

",,"May 17, 2018
            (Italy)",G,1 hr 22 min,Documentary,"See more details at IMDbPro

",
507,512,Science Fair,"$277,338","$276,195",99.6%,"$1,143",0.4%,2018,"National Geographic EntertainmentSee full company information

","$11,231","September 14, 2018
            (Domestic)",PG,1 hr 30 min,Documentary,"See more details at IMDbPro

",
508,513,The King,"$273,601","$259,291",94.8%,"$14,310",5.2%,2018,"OscilloscopeSee full company information

","$29,050","June 22, 2018
            (Domestic)",R,1 hr 47 min,Documentary,"See more details at IMDbPro

",
509,514,The World Before Your Feet,"$268,644","$268,644",100%,-,-,2018,"Greenwich EntertainmentSee full company information

","$22,482","November 21, 2018
            (Domestic)",,1 hr 35 min,Documentary,"See more details at IMDbPro

",
